county_id,station_id,rainfall_24h_in,rainfall_72h_accum_in,temperature_f,humidity_percent,mean_water_level_ft,max_water_level_ft,mean_elevation_meters,population_density_per_sqmi,mean_slope_degrees,inundated_area_sqkm,inundation_percentage,soil_saturation_index,label,record_id,date
Norman MN,USGS_05087500,7.37145192293534,15.207443206429842,93.2,85.8,35.39407468438063,36.45577023777201,310,55,1.9545624180177517,4.12996598771885,25.916701118526944,36.21062261782377,flood,HIST_000000,2013-12-28
Norman MN,USGS_05085000,3.2623152683497936,8.686973318045265,45.2,29.7,34.33019633027987,39.07462401654654,290,25,3.9140800826863984,4.34348594125159,18.27682615040224,18.79049026057455,flood,HIST_000001,1991-12-15
Walsh ND,USGS_05059000,20.85696183690436,66.25235262622846,60.5,40.2,15.767351795398685,18.60585343449864,290,30,1.5782832311388963,5.79713826558856,55.59953194762765,75.45447962707787,flood,HIST_000002,1986-08-14
Norman MN,USGS_05087500,19.229394788764537,61.8339333049317,51.9,64.6,12.425342956951486,13.1299640818253,275,95,3.5054924518850994,13.751197202077797,59.21321619603104,79.50202923669917,flood,HIST_000003,2015-08-24
Norman MN,USGS_05079000,15.233236234561808,44.13729013070218,89.9,87.1,29.794386580222803,32.04163995091382,275,25,1.7385252912260283,17.493033239638553,35.477867262463626,34.72496136910577,flood,HIST_000004,2006-01-03
Grand Forks ND,USGS_05059000,15.207522069302573,15.271899925267665,60.7,26.9,35.06788752799114,35.607344662957665,270,60,1.5785729642168356,2.9538089853687137,18.8613588645796,55.77136220482325,flood,HIST_000005,2001-05-23
Norman MN,USGS_05092000,6.176041097040443,11.114525598345057,72.5,46.6,35.539090274648245,36.066561573799596,290,30,2.6413364262072756,4.746016255985043,19.460701260316437,20.9879159230606,flood,HIST_000006,1996-07-01
Cass ND,USGS_05054000,7.840223106039415,6.014628787737173,51.2,42.8,18.247585682334666,19.089040893199318,280,25,2.0469105489326758,5.905776308965939,24.23017026348245,15.840302239808342,no_flood,HIST_000007,1983-07-02
Polk MN,USGS_05054000,10.95354501489332,23.268491667736225,61.9,65.4,34.631548481706176,37.59503210110314,300,45,1.7021333158317882,1.9052745526087016,28.218038066762304,98.50808268053586,flood,HIST_000008,1993-11-16
Cass ND,USGS_05054000,4.814235894745012,28.39867856383023,73.7,37.7,30.408649253274547,33.863337943786874,280,30,2.4668383657513435,7.02702917443259,8.251256648759595,40.695971594523265,flood,HIST_000009,1996-02-23
Norman MN,USGS_05085000,7.262052191560727,18.386230246924356,94.8,95.5,23.023582710478628,25.815049978514118,260,30,3.706590857973349,4.018342175293593,50.799668534298355,87.06918626902832,no_flood,HIST_000010,2004-08-20
Polk MN,USGS_05054000,3.1416725955903493,18.293453960902234,64.1,57.7,29.693884158658225,34.66617147171233,280,60,1.9398131316933633,2.462961498026067,29.63362291100608,26.094043829919592,flood,HIST_000011,1979-07-03
Cass ND,USGS_05053000,3.4158352192559236,17.589798222456714,58.6,90.1,15.763374474118649,18.919067604104963,310,60,3.487028258854121,25.0,11.71457926788267,75.02069037353547,no_flood,HIST_000012,1990-04-03
Cass ND,USGS_05053000,10.793350045742017,33.49724163716098,93.0,95.3,29.386866034594785,33.65191331193159,260,55,2.2361222301739643,11.267142032618207,51.068200291011415,38.522980464064986,flood,HIST_000013,1989-09-10
Norman MN,USGS_05085000,15.673004208756824,57.305745306746076,79.4,75.9,25.330957012905305,28.843377432840853,275,30,2.398727878049388,12.518116920068355,52.024339114806224,92.19164973008242,flood,HIST_000014,1978-09-04
Grand Forks ND,USGS_05087500,5.101149864580075,25.67653793868036,40.6,67.2,28.4949569073804,28.67466827636411,290,35,2.6639950453311503,1.5319125344708728,17.192475127697065,63.174993451210966,flood,HIST_000015,1993-01-20
Clay MN,USGS_05085000,12.853361925864984,31.568678737764525,62.4,86.5,19.248150403768488,20.220050573742853,290,55,2.5283847626416964,3.4434545490198087,58.172212026849536,74.31355937619568,no_flood,HIST_000016,1990-01-24
Norman MN,USGS_05079000,11.537001387155577,38.885511961915334,68.0,77.2,37.234689442961,40.535676326549655,275,30,2.199834742364857,3.8300064612966707,44.27381500174611,59.891864726026064,flood,HIST_000017,1993-07-03
Walsh ND,USGS_05082500,27.525049635286443,65.72709778160859,64.5,59.6,23.387219199427076,24.25322854897715,275,30,2.5846291230949325,19.148608585063847,2.718240586322671,43.71513531638241,flood,HIST_000018,1990-10-01
Grand Forks ND,USGS_05092000,5.621873242692587,11.041155456994364,69.5,53.3,17.75032275557936,20.96676384779113,260,45,2.6456322262287917,7.339247503694654,56.48788852659151,44.74923740206968,no_flood,HIST_000019,2004-08-10
Polk MN,USGS_05087500,3.0914193542598447,13.14448653542878,74.3,53.1,23.53962095583881,26.94768930070276,270,25,2.3515614236606,6.520973295150923,20.90019626719184,94.29833366701365,no_flood,HIST_000020,2007-09-21
Grand Forks ND,USGS_05054000,3.426233562817456,15.815907630377783,50.0,67.4,7.7950443826427955,12.130627418691406,280,25,2.904666730359434,8.845252225358793,40.790686794014746,76.59178844026371,no_flood,HIST_000021,2006-09-17
Cass ND,USGS_05085000,0.44511789889518055,2.4560809250287,69.4,71.1,25.259139164112202,27.501366774003802,270,45,2.2330269292451614,15.025394814028726,47.49474262355091,81.06563285150985,no_flood,HIST_000022,2016-05-10
Clay MN,USGS_05059000,9.923862886768053,42.72674303000773,58.8,90.1,24.798180637904217,25.531204746364345,310,95,2.783315421730982,4.875957366438716,34.87832503360694,87.68246697901034,no_flood,HIST_000023,1993-04-17
Norman MN,USGS_05059000,10.713694738247657,18.01079368985892,41.7,61.0,6.603932204715834,6.660700428552929,275,35,2.671651604985316,8.475898118954607,35.00212590582958,96.59552936270877,no_flood,HIST_000024,2020-09-24
Cass ND,USGS_05085000,4.074015504224263,7.959400023124708,66.4,70.9,27.190716607789366,30.669460052712452,310,55,2.636352661919433,6.951288915398236,35.058858715386016,91.10422094418901,no_flood,HIST_000025,1982-12-10
Traill ND,USGS_05087500,12.25819545057156,22.47228916189172,51.0,51.3,13.4506353416067,14.750384655878014,290,30,2.6331021170720774,20.16071772328568,7.991107513424982,16.858034163924685,no_flood,HIST_000026,1977-02-19
Grand Forks ND,USGS_05059000,1.9763789014854016,3.2698389846475546,57.9,95.8,23.68017131051709,27.890765926195634,260,60,3.5958217617778447,2.4539181958259557,24.88917014025991,34.60663647376356,no_flood,HIST_000027,2019-07-06
Walsh ND,USGS_05054000,30.103785148704063,84.90186994820836,57.7,42.6,39.014237048623485,40.03946369115611,275,30,2.128606098779496,3.1011127575230937,45.41994793033372,14.220682101209793,flood,HIST_000028,2002-08-07
Clay MN,USGS_05082500,12.980853468953022,20.39582908292118,87.6,54.5,35.42989429200983,36.09997043426303,290,25,1.5719566907833475,20.460166625644582,37.21857308120788,73.36717912893012,flood,HIST_000029,2022-07-06
Walsh ND,USGS_05082500,17.29693754906438,53.124513036569816,65.8,82.2,31.744734133797714,33.72744804540407,290,25,3.0552167505696834,1.1719562879263121,58.80195451712862,54.33562845935826,flood,HIST_000030,1984-11-11
