,PC1,PC2,PC3,PC4,PC5
hydrology_risk_score,0.001645875447897813,0.0002662799084629656,-0.00018087571143333788,0.018095838074190018,-0.00035908055831457975
weather_risk_score,0.0008580189427301876,0.001809635215560523,-0.00010472127433992914,0.0021616781050755665,5.098574968733462e-05
infrastructure_vulnerability_score,0.0017234984298281533,1.4907140604224998e-05,0.009815104097378393,-7.612118657702671e-05,-0.00012627119710850306
historical_flood_probability,0.0015851126182444635,0.0026333573267583637,-0.00016172580185584273,0.025268183572138073,-0.0005784957382968299
ensemble_weighted_score,0.0014553214935439755,0.0009569057944099311,0.001840231346038242,0.011553758054451569,-0.000242914386069687
mean_elevation_meters,0.9802958403032314,0.016252955708981942,-0.1724975843608552,-0.09145928733985798,-0.025105740917961906
population_density_per_sqmi,0.17257265312450937,0.0015567640006815316,0.9849120707548935,-0.006375040387767513,-0.004526598187334299
rainfall_72h_accum_in,-0.017544273948232606,0.9997535901834412,0.0014092842693011981,-0.013184093191589683,0.0005095072078089143
max_water_level_ft,0.09047948100285315,0.014661286882608496,-0.009538719632338365,0.9950324819982657,-0.017429774393580347
inundated_area_sqkm,0.026992066452453414,0.000163076195834739,-3.775610978689531e-05,0.015055622194987179,0.9995220742249458
runoff_potential_index,0.0017088548911510998,2.1507983688783847e-05,-0.0001330537753001033,0.0004395717563270286,0.0003801783433366325
composite_vulnerability_score,0.0013670839129208798,1.720638695102171e-05,-0.00010644302024008233,0.00035165740506174067,0.0003041426746694183
