district_id,rainfall_24h_mm,rainfall_3d_accum_mm,humidity_percent,temperature_celsius,water_level_meters,danger_level_meters,discharge_rate_cumecs,reservoir_capacity_percent,is_above_danger,water_level_ratio,inundated_area_sqkm,inundation_percentage,soil_saturation_index,ndwi_water_index,mean_elevation_meters,mean_slope_degrees,drainage_density_km_sqkm,coastal_proximity_km,runoff_potential_index,composite_vulnerability_score
District_01,73.72,189.486,81.1,29.68,77.57,61.926,8975.74,94.1,1,1.2526,90.57,34.78,0.602,0.4772,122.68,7.872,2.44,108.46,5.5361,0.8477
District_02,51.19,140.49,84.62,27.68,80.85,68.234,7131.86,94.2,1,1.1849,66.36,33.32,0.6604,0.4216,133.7,7.016,2.522,86.62,4.5223,0.7357
District_03,51.706,151.664,81.52,25.48,72.44,61.672,8036.36,93.4,1,1.1746,135.31,26.78,0.7558,0.4498,60.34,6.802,2.596,59.84,5.2541,0.7274
District_04,60.002,173.858,83.48,27.6,68.64,55.832,5787.76,91.7,1,1.2294,54.0,20.3,0.7848,0.3838,76.96,3.442,2.204,37.5,9.6493,0.7562
District_05,42.728,128.22,79.64,27.92,80.47,63.76,10239.88,84.2,1,1.2621,90.72,30.58,0.7308,0.616,73.0,3.462,2.554,55.94,6.4317,0.7274
District_06,39.35,109.114,84.66,28.22,80.3,71.91,7502.74,93.6,1,1.1167,39.3,20.52,0.7986,0.3328,100.32,5.414,1.35,79.0,4.8991,0.6095
District_07,50.772,133.428,87.04,30.56,81.35,65.286,7076.96,96.1,1,1.2461,69.18,24.3,0.7256,0.5114,120.66,3.882,2.386,76.86,7.1226,0.7057
District_08,52.778,156.988,87.04,26.6,80.93,67.624,10331.92,95.2,1,1.1968,82.38,20.96,0.6198,0.3738,105.3,4.582,1.48,80.92,5.8497,0.719
District_09,70.428,188.35,83.02,25.74,71.54,61.918,10779.86,89.9,1,1.1554,45.43,19.9,0.6674,0.47,109.48,7.26,1.418,84.98,6.1287,0.7572
District_10,74.524,183.288,84.34,24.72,85.36,67.438,7037.28,96.0,1,1.2658,107.59,33.22,0.675,0.475,86.96,5.18,1.64,102.68,8.2341,0.8351
