date,latitude,longitude,rainfall_mm,station_id,station_name,water_level_m,river_level_24h_ago,river_level_48h_ago,river_rise_rate,elevation,population_density,ndwi,soil_saturation,flooded,rainfall_48h,rainfall_72h,days_since_last_rain,flood_risk_score
2019-05-01,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.72,50.72,50.72,0.002957,0.0,694.6,0.381,0.455,0,0.0,0.0,1.0,20.0703
2019-05-02,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.87,50.72,50.72,0.002957,0.0,694.6,0.785,0.951,1,0.0,0.0,2.0,20.0703
2019-05-03,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.05,50.87,50.72,0.003538,0.0,694.6,0.185,0.972,0,0.0,0.0,3.0,20.0705
2019-05-04,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.94,51.05,50.87,-0.002155,0.0,694.6,0.351,0.809,0,0.0,0.0,4.0,20.0688
2019-05-05,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.79,50.94,51.05,-0.002945,0.0,694.6,0.556,0.764,0,0.0,0.0,5.0,20.0686
2019-05-06,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.67,50.79,50.94,-0.002363,0.0,694.6,0.199,0.344,0,0.0,0.0,6.0,20.0688
2019-05-07,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.88,50.67,50.79,0.004144,0.0,694.6,0.844,0.629,1,0.0,0.0,7.0,20.0707
2019-05-08,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.76,50.88,50.67,-0.002358,0.0,694.6,0.757,0.363,1,0.0,0.0,8.0,20.0688
2019-05-09,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.93,50.76,50.88,0.003349,0.0,694.6,0.59,0.798,0,0.0,0.0,9.0,20.0705
2019-05-10,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.81,50.93,50.76,0.017279,0.0,694.6,0.57,0.701,0,0.0,0.0,10.0,20.0746
2019-05-11,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,52.21,51.81,50.93,0.007721,0.0,694.6,0.661,0.801,1,0.0,0.0,11.0,20.0718
2019-05-12,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,52.12,52.21,51.81,-0.001724,0.0,694.6,0.569,0.528,0,0.0,0.0,12.0,20.0689
2019-05-13,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,52.66,52.12,52.21,0.010361,0.0,694.6,0.732,0.882,1,0.0,0.0,13.0,20.0726
2019-05-14,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,52.54,52.66,52.12,-0.002279,0.0,694.6,0.523,0.955,0,0.0,0.0,14.0,20.0688
2019-05-15,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.78,52.54,52.66,-0.014465,0.0,694.6,0.704,0.962,1,0.0,0.0,15.0,20.0651
2019-05-16,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.42,51.78,52.54,-0.006952,0.0,694.6,0.449,0.477,0,0.0,0.0,16.0,20.0674
2019-05-17,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.73,51.42,51.78,-0.013419,0.0,694.6,0.223,0.375,0,0.0,0.0,17.0,20.0654
2019-05-18,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.63,50.73,51.42,-0.001971,0.0,694.6,0.335,0.302,0,0.0,0.0,18.0,20.0689
2019-05-19,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,50.69,50.63,50.73,0.001185,0.0,694.6,0.225,0.967,0,0.0,0.0,19.0,20.0698
2019-05-20,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.41,50.69,50.63,0.014204,0.0,694.6,0.373,0.907,0,0.0,0.0,20.0,20.0737
2019-05-21,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.59,51.41,50.69,0.003501,0.0,694.6,0.7,0.723,1,0.0,0.0,21.0,20.0705
2019-05-22,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.56,51.59,51.41,-0.000582,0.0,694.6,0.503,0.652,0,0.0,0.0,22.0,20.0693
2019-05-23,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.94,51.56,51.59,0.00737,0.0,694.6,0.489,0.82,0,0.0,0.0,23.0,20.0717
2019-05-24,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.1,51.94,51.56,-0.016173,0.0,694.6,0.246,0.904,0,0.0,0.0,24.0,20.0646
2019-05-25,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.25,51.1,51.94,0.002935,0.0,694.6,0.539,0.595,0,0.0,0.0,25.0,20.0703
2019-05-26,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.61,51.25,51.1,0.007024,0.0,694.6,0.708,0.479,1,0.0,0.0,26.0,20.0716
2019-05-27,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.06,51.61,51.25,-0.010657,0.0,694.6,0.277,0.518,0,0.0,0.0,27.0,20.0663
2019-05-28,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.57,51.06,51.61,0.009988,0.0,694.6,0.575,0.852,0,0.0,0.0,28.0,20.0725
2019-05-29,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.76,51.57,51.06,0.003684,0.0,694.6,0.224,0.338,0,0.0,0.0,29.0,20.0706
2019-05-30,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.64,51.76,51.57,-0.002318,0.0,694.6,0.191,0.731,0,0.0,0.0,30.0,20.0688
2019-05-31,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,51.94,51.64,51.76,0.005809,0.0,694.6,0.755,0.733,1,0.0,0.0,31.0,20.0712
2019-06-01,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,52.9,51.94,51.64,0.018483,0.0,694.6,0.703,0.877,1,0.0,0.0,32.0,20.075
2019-06-02,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,53.02,52.9,51.94,0.002268,0.0,694.6,0.393,0.512,0,0.0,0.0,33.0,20.0701
2019-06-03,24.5,83.5,2.556038856506348,STN_GAN_02,Gandak Rewaghat Station,53.17,53.02,52.9,0.002829,0.0,694.6,0.535,0.96,0,2.56,2.56,0.0,21.0943
2019-06-04,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,53.04,53.17,53.02,-0.002445,0.0,694.6,0.641,0.643,0,2.56,2.56,1.0,21.0927
2019-06-05,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,52.75,53.04,53.17,-0.005468,0.0,694.6,0.72,0.578,1,0.0,2.56,2.0,21.0918
2019-06-06,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,53.13,52.75,53.04,0.007204,0.0,694.6,0.678,0.883,1,0.0,0.0,3.0,20.0716
2019-06-07,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,52.84,53.13,52.75,-0.005458,0.0,694.6,0.563,0.427,0,0.0,0.0,4.0,20.0678
2019-06-08,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,52.92,52.84,53.13,0.001514,0.0,694.6,0.848,0.674,1,0.0,0.0,5.0,20.0699
2019-06-09,24.5,83.5,0.0,STN_GAN_02,Gandak Rewaghat Station,52.78,52.92,52.84,-0.002646,0.0,694.6,0.736,0.541,1,0.0,0.0,6.0,20.0687
