station_id,station_name,date,water_level_m,latitude,longitude,river_level_24h_ago,river_rise_rate
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-01,60.09,27.43,83.91,,
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-02,59.83,27.43,83.91,60.09,-0.004327
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-03,59.89,27.43,83.91,59.83,0.001003
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-04,60.14,27.43,83.91,59.89,0.004174
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-05,60.77,27.43,83.91,60.14,0.010476
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-06,61.2,27.43,83.91,60.77,0.007076
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-07,62.11,27.43,83.91,61.2,0.014869
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-08,61.86,27.43,83.91,62.11,-0.004025
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-09,62.26,27.43,83.91,61.86,0.006466
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-10,62.38,27.43,83.91,62.26,0.001927
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-11,63.31,27.43,83.91,62.38,0.014909
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-12,63.03,27.43,83.91,63.31,-0.004423
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-13,62.75,27.43,83.91,63.03,-0.004442
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-14,62.56,27.43,83.91,62.75,-0.003028
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-15,61.76,27.43,83.91,62.56,-0.012788
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-16,61.6,27.43,83.91,61.76,-0.002591
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-17,61.34,27.43,83.91,61.6,-0.004221
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-18,61.45,27.43,83.91,61.34,0.001793
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-19,61.64,27.43,83.91,61.45,0.003092
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-20,62.44,27.43,83.91,61.64,0.012979
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-21,62.87,27.43,83.91,62.44,0.006887
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-22,62.69,27.43,83.91,62.87,-0.002863
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-23,62.38,27.43,83.91,62.69,-0.004945
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-24,62.63,27.43,83.91,62.38,0.004008
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-25,62.15,27.43,83.91,62.63,-0.007664
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-26,62.93,27.43,83.91,62.15,0.01255
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-27,63.45,27.43,83.91,62.93,0.008263
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-28,63.32,27.43,83.91,63.45,-0.002049
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-29,62.68,27.43,83.91,63.32,-0.010107
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-30,63.27,27.43,83.91,62.68,0.009413
STN_GAN_01,Gandak Valmikinagar Barrage,2019-05-31,63.28,27.43,83.91,63.27,0.000158
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-01,63.82,27.43,83.91,63.28,0.008534
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-02,63.23,27.43,83.91,63.82,-0.009245
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-03,63.04,27.43,83.91,63.23,-0.003005
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-04,63.1,27.43,83.91,63.04,0.000952
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-05,63.16,27.43,83.91,63.1,0.000951
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-06,63.03,27.43,83.91,63.16,-0.002058
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-07,63.33,27.43,83.91,63.03,0.00476
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-08,62.96,27.43,83.91,63.33,-0.005842
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-09,62.95,27.43,83.91,62.96,-0.000159
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-10,63.05,27.43,83.91,62.95,0.001589
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-11,63.3,27.43,83.91,63.05,0.003965
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-12,63.64,27.43,83.91,63.3,0.005371
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-13,63.24,27.43,83.91,63.64,-0.006285
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-14,62.67,27.43,83.91,63.24,-0.009013
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-15,63.24,27.43,83.91,62.67,0.009095
STN_GAN_01,Gandak Valmikinagar Barrage,2019-06-16,63.42,27.43,83.91,63.24,0.002846
