date,latitude,longitude,ndwi,soil_saturation,flooded
2019-05-01,24.5,83.5,0.381,0.455,0
2019-05-01,24.5,83.75,0.813,0.887,1
2019-05-01,24.5,84.0,0.649,0.518,0
2019-05-01,24.5,84.25,0.549,0.882,0
2019-05-01,24.5,84.5,0.217,0.417,0
2019-05-01,24.5,84.75,0.217,0.618,0
2019-05-01,24.5,85.0,0.144,0.897,0
2019-05-01,24.5,85.25,0.75,0.333,1
2019-05-01,24.5,85.5,0.551,0.507,0
2019-05-01,24.5,85.75,0.631,0.919,0
2019-05-01,24.5,86.0,0.115,0.706,0
2019-05-01,24.5,86.25,0.827,0.787,1
2019-05-01,24.5,86.5,0.724,0.873,1
2019-05-01,24.5,86.75,0.259,0.656,0
2019-05-01,24.5,87.0,0.236,0.875,0
2019-05-01,24.5,87.25,0.238,0.734,0
2019-05-01,24.5,87.5,0.328,0.766,0
2019-05-01,24.5,87.75,0.494,0.404,0
2019-05-01,24.5,88.0,0.424,0.939,0
2019-05-01,24.5,88.25,0.318,0.841,0
2019-05-01,24.5,88.5,0.559,0.473,0
2019-05-01,24.75,83.5,0.205,0.694,0
2019-05-01,24.75,83.75,0.319,0.556,0
2019-05-01,24.75,84.0,0.375,0.749,0
2019-05-01,24.75,84.25,0.442,0.976,0
2019-05-01,24.75,84.5,0.689,0.331,1
2019-05-01,24.75,84.75,0.25,0.948,0
2019-05-01,24.75,85.0,0.486,0.349,0
2019-05-01,24.75,85.25,0.544,0.613,0
2019-05-01,24.75,85.5,0.135,0.628,0
2019-05-01,24.75,85.75,0.556,0.483,0
2019-05-01,24.75,86.0,0.228,0.685,0
2019-05-01,24.75,86.25,0.149,0.867,0
2019-05-01,24.75,86.5,0.812,0.5,1
2019-05-01,24.75,86.75,0.824,0.348,1
2019-05-01,24.75,87.0,0.706,0.73,1
2019-05-01,24.75,87.25,0.328,0.811,0
2019-05-01,24.75,87.5,0.173,0.949,0
2019-05-01,24.75,87.75,0.613,0.408,0
2019-05-01,24.75,88.0,0.43,0.913,0
2019-05-01,24.75,88.25,0.192,0.628,0
2019-05-01,24.75,88.5,0.471,0.46,0
2019-05-01,25.0,83.5,0.126,0.955,0
2019-05-01,25.0,83.75,0.782,0.462,1
2019-05-01,25.0,84.0,0.294,0.799,0
2019-05-01,25.0,84.25,0.597,0.834,0
2019-05-01,25.0,84.5,0.334,0.593,0
2019-05-01,25.0,84.75,0.49,0.769,0
2019-05-01,25.0,85.0,0.51,0.689,0
2019-05-01,25.0,85.25,0.239,0.431,0
2019-05-01,25.0,85.5,0.827,0.817,1
2019-05-01,25.0,85.75,0.681,0.931,1
2019-05-01,25.0,86.0,0.805,0.632,1
2019-05-01,25.0,86.25,0.771,0.976,1
2019-05-01,25.0,86.5,0.548,0.591,0
2019-05-01,25.0,86.75,0.791,0.626,1
2019-05-01,25.0,87.0,0.166,0.758,0
2019-05-01,25.0,87.25,0.247,0.426,0
2019-05-01,25.0,87.5,0.134,0.913,0
2019-05-01,25.0,87.75,0.344,0.845,0
2019-05-01,25.0,88.0,0.392,0.893,0
2019-05-01,25.0,88.25,0.304,0.714,0
2019-05-01,25.0,88.5,0.722,0.901,1
2019-05-01,25.25,83.5,0.368,0.762,0
2019-05-01,25.25,83.75,0.311,0.648,0
2019-05-01,25.25,84.0,0.507,0.934,0
2019-05-01,25.25,84.25,0.206,0.599,0
2019-05-01,25.25,84.5,0.702,0.64,1
2019-05-01,25.25,84.75,0.156,0.415,0
2019-05-01,25.25,85.0,0.84,0.944,1
2019-05-01,25.25,85.25,0.679,0.45,1
2019-05-01,25.25,85.5,0.249,0.437,0
2019-05-01,25.25,85.75,0.104,0.369,0
2019-05-01,25.25,86.0,0.712,0.608,1
2019-05-01,25.25,86.25,0.63,0.486,0
2019-05-01,25.25,86.5,0.647,0.804,0
2019-05-01,25.25,86.75,0.678,0.509,1
2019-05-01,25.25,87.0,0.156,0.79,0
2019-05-01,25.25,87.25,0.369,0.433,0
2019-05-01,25.25,87.5,0.187,0.456,0
2019-05-01,25.25,87.75,0.747,0.848,1
2019-05-01,25.25,88.0,0.567,0.552,0
2019-05-01,25.25,88.25,0.348,0.376,0
2019-05-01,25.25,88.5,0.148,0.954,0
2019-05-01,25.5,83.5,0.333,0.421,0
2019-05-01,25.5,83.75,0.344,0.402,0
2019-05-01,25.5,84.0,0.647,0.544,0
2019-05-01,25.5,84.25,0.578,0.365,0
2019-05-01,25.5,84.5,0.765,0.406,1
2019-05-01,25.5,84.75,0.454,0.876,0
2019-05-01,25.5,85.0,0.19,0.417,0
2019-05-01,25.5,85.25,0.635,0.376,0
2019-05-01,25.5,85.5,0.671,0.898,1
2019-05-01,25.5,85.75,0.521,0.602,0
2019-05-01,25.5,86.0,0.678,0.407,1
2019-05-01,25.5,86.25,0.47,0.695,0
2019-05-01,25.5,86.5,0.492,0.328,0
2019-05-01,25.5,86.75,0.421,0.591,0
2019-05-01,25.5,87.0,0.119,0.701,0
2019-05-01,25.5,87.25,0.181,0.951,0
2019-05-01,25.5,87.5,0.124,0.522,0
2019-05-01,25.5,87.75,0.577,0.82,0
2019-05-01,25.5,88.0,0.336,0.39,0
2019-05-01,25.5,88.25,0.481,0.595,0
2019-05-01,25.5,88.5,0.781,0.452,1
2019-05-01,25.75,83.5,0.287,0.635,0
2019-05-01,25.75,83.75,0.408,0.584,0
2019-05-01,25.75,84.0,0.667,0.966,1
2019-05-01,25.75,84.25,0.272,0.924,0
2019-05-01,25.75,84.5,0.158,0.696,0
2019-05-01,25.75,84.75,0.317,0.42,0
2019-05-01,25.75,85.0,0.221,0.679,0
2019-05-01,25.75,85.25,0.797,0.839,1
2019-05-01,25.75,85.5,0.706,0.326,1
2019-05-01,25.75,85.75,0.575,0.595,0
2019-05-01,25.75,86.0,0.754,0.329,1
2019-05-01,25.75,86.25,0.703,0.466,1
2019-05-01,25.75,86.5,0.24,0.363,0
2019-05-01,25.75,86.75,0.769,0.953,1
2019-05-01,25.75,87.0,0.505,0.415,0
2019-05-01,25.75,87.25,0.706,0.402,1
2019-05-01,25.75,87.5,0.772,0.961,1
2019-05-01,25.75,87.75,0.339,0.651,0
2019-05-01,25.75,88.0,0.183,0.815,0
2019-05-01,25.75,88.25,0.271,0.523,0
2019-05-01,25.75,88.5,0.42,0.662,0
2019-05-01,26.0,83.5,0.714,0.305,1
2019-05-01,26.0,83.75,0.746,0.578,1
2019-05-01,26.0,84.0,0.105,0.677,0
2019-05-01,26.0,84.25,0.483,0.65,0
2019-05-01,26.0,84.5,0.413,0.576,0
2019-05-01,26.0,84.75,0.267,0.836,0
2019-05-01,26.0,85.0,0.19,0.641,0
2019-05-01,26.0,85.25,0.353,0.733,0
2019-05-01,26.0,85.5,0.807,0.426,1
2019-05-01,26.0,85.75,0.342,0.886,0
2019-05-01,26.0,86.0,0.489,0.547,0
2019-05-01,26.0,86.25,0.627,0.628,0
2019-05-01,26.0,86.5,0.373,0.539,0
2019-05-01,26.0,86.75,0.829,0.906,1
2019-05-01,26.0,87.0,0.822,0.913,1
2019-05-01,26.0,87.25,0.289,0.453,0
2019-05-01,26.0,87.5,0.473,0.812,0
2019-05-01,26.0,87.75,0.326,0.37,0
2019-05-01,26.0,88.0,0.314,0.32,0
2019-05-01,26.0,88.25,0.128,0.869,0
2019-05-01,26.0,88.5,0.557,0.389,0
2019-05-01,26.25,83.5,0.477,0.405,0
2019-05-01,26.25,83.75,0.139,0.712,0
2019-05-01,26.25,84.0,0.309,0.855,0
2019-05-01,26.25,84.25,0.781,0.429,1
2019-05-01,26.25,84.5,0.28,0.378,0
2019-05-01,26.25,84.75,0.209,0.353,0
2019-05-01,26.25,85.0,0.467,0.317,0
2019-05-01,26.25,85.25,0.839,0.379,1
2019-05-01,26.25,85.5,0.282,0.941,0
