latitude,longitude,population_density
24.5,83.5,547.2
24.5,83.5505,602.0
24.5,83.601,594.5
24.5,83.6515,595.3
24.5,83.702,573.2
24.5,83.7525,588.4
24.5,83.803,598.0
24.5,83.8535,682.7
24.5,83.904,684.5
24.5,83.9545,719.4
24.5,84.0051,694.6
24.5,84.0556,805.1
24.5,84.1061,833.5
24.5,84.1566,829.0
24.5,84.2071,877.8
24.5,84.2576,936.2
24.5,84.3081,1011.9
24.5,84.3586,1104.2
24.5,84.4091,1180.7
24.5,84.4596,1263.5
24.5,84.5101,1393.7
24.5,84.5606,1471.0
24.5,84.6111,1608.7
24.5,84.6616,1748.9
24.5,84.7121,1896.6
24.5,84.7626,2065.2
24.5,84.8131,2155.3
24.5,84.8636,2302.4
24.5,84.9141,2403.8
24.5,84.9646,2416.7
24.5,85.0152,2471.4
24.5,85.0657,2397.9
24.5,85.1162,2308.4
24.5,85.1667,2266.4
24.5,85.2172,2135.5
24.5,85.2677,1981.8
24.5,85.3182,1799.6
24.5,85.3687,1645.9
24.5,85.4192,1563.6
24.5,85.4697,1424.7
24.5,85.5202,1290.5
24.5,85.5707,1222.2
24.5,85.6212,1097.4
24.5,85.6717,1089.1
24.5,85.7222,967.7
24.5,85.7727,938.7
24.5,85.8232,856.6
24.5,85.8737,825.9
24.5,85.9242,786.4
24.5,85.9747,721.0
24.5,86.0253,751.9
24.5,86.0758,708.5
24.5,86.1263,705.9
24.5,86.1768,722.0
24.5,86.2273,719.5
24.5,86.2778,768.3
24.5,86.3283,726.0
24.5,86.3788,760.3
24.5,86.4293,775.2
24.5,86.4798,825.5
24.5,86.5303,858.9
24.5,86.5808,877.9
24.5,86.6313,950.3
24.5,86.6818,939.1
24.5,86.7323,957.6
24.5,86.7828,1000.3
24.5,86.8333,986.5
24.5,86.8838,1053.5
24.5,86.9343,1004.7
24.5,86.9848,1081.9
24.5,87.0354,1063.7
24.5,87.0859,1011.5
24.5,87.1364,984.7
24.5,87.1869,1033.6
24.5,87.2374,1005.1
24.5,87.2879,983.9
24.5,87.3384,961.8
24.5,87.3889,878.9
24.5,87.4394,873.6
24.5,87.4899,825.7
24.5,87.5404,857.3
24.5,87.5909,810.6
24.5,87.6414,760.7
24.5,87.6919,714.0
24.5,87.7424,710.1
24.5,87.7929,689.0
24.5,87.8434,700.7
24.5,87.8939,674.4
24.5,87.9444,677.0
24.5,87.9949,628.0
24.5,88.0455,585.4
24.5,88.096,619.9
24.5,88.1465,612.1
24.5,88.197,585.6
24.5,88.2475,593.0
24.5,88.298,562.5
24.5,88.3485,557.4
24.5,88.399,544.4
24.5,88.4495,508.1
24.5,88.5,510.7
24.5508,83.5,521.2
24.5508,83.5505,578.6
24.5508,83.601,563.2
24.5508,83.6515,590.6
24.5508,83.702,636.2
24.5508,83.7525,599.4
24.5508,83.803,630.4
24.5508,83.8535,678.9
24.5508,83.904,660.8
24.5508,83.9545,676.3
24.5508,84.0051,725.0
24.5508,84.0556,751.1
24.5508,84.1061,854.2
24.5508,84.1566,892.3
24.5508,84.2071,932.9
24.5508,84.2576,1014.3
24.5508,84.3081,1080.0
24.5508,84.3586,1111.4
24.5508,84.4091,1259.5
24.5508,84.4596,1334.8
24.5508,84.5101,1472.5
24.5508,84.5606,1609.3
24.5508,84.6111,1706.5
24.5508,84.6616,1846.2
24.5508,84.7121,2022.8
24.5508,84.7626,2212.5
24.5508,84.8131,2416.1
24.5508,84.8636,2578.2
24.5508,84.9141,2637.9
24.5508,84.9646,2756.3
24.5508,85.0152,2762.6
24.5508,85.0657,2693.3
24.5508,85.1162,2574.9
24.5508,85.1667,2443.6
24.5508,85.2172,2323.4
24.5508,85.2677,2099.5
24.5508,85.3182,1944.7
24.5508,85.3687,1798.3
24.5508,85.4192,1622.4
24.5508,85.4697,1535.9
24.5508,85.5202,1413.6
24.5508,85.5707,1248.2
24.5508,85.6212,1171.6
24.5508,85.6717,1070.8
24.5508,85.7222,994.7
24.5508,85.7727,909.1
24.5508,85.8232,897.3
24.5508,85.8737,838.4
24.5508,85.9242,758.3
24.5508,85.9747,738.1
24.5508,86.0253,754.9
24.5508,86.0758,672.3
24.5508,86.1263,658.8
24.5508,86.1768,708.6
24.5508,86.2273,772.4
24.5508,86.2778,739.1
24.5508,86.3283,801.6
24.5508,86.3788,838.6
24.5508,86.4293,828.1
24.5508,86.4798,900.0
24.5508,86.5303,904.7
24.5508,86.5808,959.7
24.5508,86.6313,993.1
24.5508,86.6818,1017.3
24.5508,86.7323,1011.5
24.5508,86.7828,1097.8
24.5508,86.8333,1079.2
24.5508,86.8838,1085.9
24.5508,86.9343,1085.9
24.5508,86.9848,1135.2
24.5508,87.0354,1140.8
24.5508,87.0859,1080.0
24.5508,87.1364,1105.6
24.5508,87.1869,1063.2
24.5508,87.2374,1072.4
24.5508,87.2879,1006.6
24.5508,87.3384,1017.1
24.5508,87.3889,960.1
24.5508,87.4394,970.5
24.5508,87.4899,872.8
24.5508,87.5404,855.9
24.5508,87.5909,805.4
24.5508,87.6414,839.5
24.5508,87.6919,806.5
24.5508,87.7424,729.7
24.5508,87.7929,736.5
24.5508,87.8434,725.7
24.5508,87.8939,683.3
24.5508,87.9444,661.8
24.5508,87.9949,621.1
24.5508,88.0455,593.2
24.5508,88.096,643.2
24.5508,88.1465,630.5
24.5508,88.197,597.6
24.5508,88.2475,563.8
24.5508,88.298,555.5
24.5508,88.3485,579.5
24.5508,88.399,588.2
24.5508,88.4495,582.6
24.5508,88.5,569.5
24.6017,83.5,571.3
24.6017,83.5505,535.8
24.6017,83.601,552.7
24.6017,83.6515,623.9
24.6017,83.702,614.6
24.6017,83.7525,583.1
24.6017,83.803,609.3
24.6017,83.8535,675.8
24.6017,83.904,648.1
24.6017,83.9545,689.2
24.6017,84.0051,753.2
24.6017,84.0556,802.6
24.6017,84.1061,843.0
24.6017,84.1566,858.9
24.6017,84.2071,955.5
24.6017,84.2576,983.4
24.6017,84.3081,1066.0
24.6017,84.3586,1186.1
24.6017,84.4091,1277.0
24.6017,84.4596,1405.2
24.6017,84.5101,1517.1
24.6017,84.5606,1653.7
24.6017,84.6111,1776.9
24.6017,84.6616,1977.7
24.6017,84.7121,2165.3
24.6017,84.7626,2372.9
24.6017,84.8131,2646.6
24.6017,84.8636,2807.4
24.6017,84.9141,3022.6
24.6017,84.9646,3113.5
24.6017,85.0152,3146.6
24.6017,85.0657,3045.6
24.6017,85.1162,2897.7
24.6017,85.1667,2693.1
24.6017,85.2172,2455.1
24.6017,85.2677,2284.3
