district_id,mean_elevation_meters,mean_slope_degrees,drainage_density_km_sqkm,coastal_proximity_km
District_01,136.3,3.73,2.29,122.0
District_02,113.7,5.51,1.3,55.3
District_03,55.5,7.26,2.57,23.5
District_04,22.2,6.86,2.61,34.8
District_05,9.1,1.95,2.81,81.7
District_06,19.5,9.22,0.88,81.7
District_07,179.8,0.62,3.37,11.6
District_08,76.2,6.39,1.64,100.9
District_09,93.6,2.97,1.0,64.3
District_10,67.8,2.88,1.62,106.9
District_01,169.2,10.94,3.47,116.7
District_02,124.5,9.92,3.32,123.6
District_03,52.2,9.96,3.23,23.1
District_04,166.3,2.64,2.72,14.7
District_05,128.0,2.81,2.99,35.6
District_06,118.4,3.9,1.3,122.2
District_07,123.5,1.05,3.24,94.4
District_08,146.6,6.32,1.21,12.3
District_09,118.4,5.81,1.4,63.1
District_10,14.4,10.22,2.74,108.9
District_01,133.1,8.37,1.58,22.8
District_02,139.7,10.61,3.11,74.2
District_03,8.7,6.32,3.43,133.1
District_04,58.3,1.2,1.14,26.1
District_05,57.1,9.25,1.16,15.3
District_06,92.0,8.48,2.31,75.9
District_07,83.3,1.38,3.08,129.3
District_08,99.7,2.95,1.7,59.5
District_09,103.3,5.17,2.16,146.9
District_10,164.3,9.51,0.93,121.1
District_01,154.6,6.96,2.9,136.5
District_02,153.2,5.47,2.74,46.3
District_03,125.5,9.43,0.98,28.6
District_04,121.7,2.99,3.49,66.5
District_05,80.5,2.72,3.46,85.9
District_06,167.8,3.42,0.91,50.4
District_07,159.7,8.38,1.41,65.5
District_08,142.0,2.62,1.65,96.5
District_09,107.4,10.93,0.95,51.2
District_10,158.3,1.62,1.44,109.8
District_01,20.2,9.36,1.96,144.3
District_02,137.4,3.57,2.14,133.7
District_03,59.8,1.04,2.77,90.9
District_04,16.3,3.52,1.06,45.4
District_05,90.3,0.58,2.35,61.2
District_06,103.9,2.05,1.35,64.8
District_07,57.0,7.98,0.83,83.5
District_08,62.0,4.63,1.2,135.4
District_09,124.7,11.42,1.58,99.4
District_10,30.0,1.67,1.47,66.7
