timestamp,district_id,region_code,rainfall_24h_mm,rainfall_3d_accum_mm,humidity_percent,temperature_celsius,imd_warning_level
2026-08-13T22:38:40.388920,District_01,ALL,74.58,210.14,74.5,23.9,ALERT
2026-08-13T22:38:40.389018,District_02,ALL,49.24,161.13,87.4,30.5,WATCH
2026-08-13T22:38:40.389034,District_03,ALL,38.66,81.65,78.8,28.3,WATCH
2026-08-13T22:38:40.389047,District_04,ALL,76.69,176.0,87.7,23.7,ALERT
2026-08-13T22:38:40.389058,District_05,ALL,27.15,85.12,75.8,28.2,NORMAL
2026-08-13T22:38:40.389077,District_06,ALL,17.04,32.03,87.6,24.0,NORMAL
2026-08-13T22:38:40.389088,District_07,ALL,34.93,89.02,73.5,27.9,WATCH
2026-08-13T22:38:40.389097,District_08,ALL,44.13,147.64,77.5,30.0,WATCH
2026-08-13T22:38:40.389108,District_09,ALL,62.22,131.55,98.1,31.3,ALERT
2026-08-13T22:38:40.389119,District_10,ALL,62.62,122.13,75.7,22.5,ALERT
2026-08-13T22:38:40.389129,District_01,ALL,93.53,230.14,77.9,31.9,ALERT
2026-08-13T22:38:40.389139,District_02,ALL,18.19,37.09,93.3,22.9,NORMAL
2026-08-13T22:38:40.389149,District_03,ALL,27.79,86.52,75.8,22.1,NORMAL
2026-08-13T22:38:40.389158,District_04,ALL,78.54,244.34,72.1,26.3,ALERT
2026-08-13T22:38:40.389167,District_05,ALL,93.84,306.61,88.1,26.0,WARNING
2026-08-13T22:38:40.389177,District_06,ALL,47.89,145.59,88.5,32.6,WATCH
2026-08-13T22:38:40.389186,District_07,ALL,40.42,80.98,90.7,31.1,WATCH
2026-08-13T22:38:40.389196,District_08,ALL,129.94,349.35,82.4,22.3,WARNING
2026-08-13T22:38:40.389206,District_09,ALL,67.59,125.27,88.5,25.8,ALERT
2026-08-13T22:38:40.389215,District_10,ALL,94.68,236.48,91.9,24.7,ALERT
2026-08-13T22:38:40.389227,District_01,ALL,54.87,125.79,74.7,33.2,WATCH
2026-08-13T22:38:40.389236,District_02,ALL,74.79,236.82,75.4,32.7,ALERT
2026-08-13T22:38:40.389246,District_03,ALL,108.94,345.64,96.0,25.8,WARNING
2026-08-13T22:38:40.389256,District_04,ALL,45.26,144.41,95.0,22.1,WATCH
2026-08-13T22:38:40.389265,District_05,ALL,41.73,104.72,76.4,23.4,WATCH
2026-08-13T22:38:40.389275,District_06,ALL,72.6,194.72,90.4,26.4,ALERT
2026-08-13T22:38:40.389284,District_07,ALL,48.28,165.91,77.3,28.0,WATCH
2026-08-13T22:38:40.389294,District_08,ALL,23.51,66.68,84.6,22.6,NORMAL
2026-08-13T22:38:40.389304,District_09,ALL,25.24,84.39,76.9,23.7,NORMAL
2026-08-13T22:38:40.389314,District_10,ALL,67.66,199.09,92.1,24.9,ALERT
2026-08-13T22:38:40.389323,District_01,ALL,53.9,130.71,88.3,29.6,WATCH
2026-08-13T22:38:40.389333,District_02,ALL,27.79,65.18,75.4,22.5,NORMAL
2026-08-13T22:38:40.389343,District_03,ALL,57.05,168.39,70.5,28.1,WATCH
2026-08-13T22:38:40.389370,District_04,ALL,81.74,243.13,81.2,33.2,ALERT
2026-08-13T22:38:40.389382,District_05,ALL,20.48,48.73,73.3,33.1,NORMAL
2026-08-13T22:38:40.389391,District_06,ALL,42.07,134.18,86.1,28.4,WATCH
2026-08-13T22:38:40.389401,District_07,ALL,77.32,151.41,96.0,32.8,ALERT
2026-08-13T22:38:40.389416,District_08,ALL,16.58,50.3,96.0,32.6,NORMAL
2026-08-13T22:38:40.389427,District_09,ALL,110.86,320.55,72.4,23.9,WARNING
2026-08-13T22:38:40.389437,District_10,ALL,62.93,124.13,89.2,22.1,ALERT
2026-08-13T22:38:40.389447,District_01,ALL,91.72,250.65,90.1,29.8,WARNING
2026-08-13T22:38:40.389457,District_02,ALL,85.94,202.23,91.6,29.8,ALERT
2026-08-13T22:38:40.389466,District_03,ALL,26.09,76.12,86.5,23.1,NORMAL
2026-08-13T22:38:40.389476,District_04,ALL,17.78,61.41,81.4,32.7,NORMAL
2026-08-13T22:38:40.389485,District_05,ALL,30.44,95.92,84.6,28.9,WATCH
2026-08-13T22:38:40.389494,District_06,ALL,17.15,39.05,70.7,29.7,NORMAL
2026-08-13T22:38:40.389504,District_07,ALL,52.91,179.82,97.7,33.0,WATCH
2026-08-13T22:38:40.389513,District_08,ALL,49.73,170.97,94.7,25.5,WATCH
2026-08-13T22:38:40.389522,District_09,ALL,86.23,279.99,79.2,24.0,WARNING
2026-08-13T22:38:40.389531,District_10,ALL,84.73,234.61,72.8,29.4,ALERT
